news_id,date,stock,name,sector,language,event_type,true_label,pred_label,score,confidence,prob_pos,prob_neg,prob_neu
N001113,2025-04-22,UNILEVER,Unilever Consumer Care,Consumer,en,regulatory,positive,positive,0.6638462729752064,0.6843283176422119,0.6843283176422119,0.02048204466700554,0.29518964886665344
N000927,2010-12-14,SUMITPOWER,Summit Power International,Power,en,dividend,neutral,neutral,0.07740950491279364,0.8993391990661621,0.08903513848781586,0.01162563357502222,0.8993391990661621
N001024,2010-09-29,LAFARGECEM,LafargeHolcim Bangladesh,Cement,bn,expansion,positive,positive,1.0,1.0,1.0,0.0,0.0
N000391,2017-05-29,NCCBANK,National Credit & Commerce Bank,Bank,en,macro,positive,positive,0.9318941719830036,0.9540842175483704,0.9540842175483704,0.022190045565366745,0.023725727573037148
N001527,2024-01-03,DSEX,DSE Broad Index,Index,en,earnings,neutral,neutral,0.008493667468428612,0.9516462087631226,0.028423752635717392,0.01993008516728878,0.9516462087631226
N001423,2017-02-17,CUSTOMERS,Customer's Care PLC,Services,bn,regulatory,negative,negative,-1.0,1.0,0.0,1.0,0.0
N001516,2024-11-11,DSEX,DSE Broad Index,Index,bn,dividend,positive,positive,1.0,1.0,1.0,0.0,0.0
N000629,2017-06-07,ACI,ACI Limited,Pharma,bn,expansion,negative,negative,-1.0,1.0,0.0,1.0,0.0
N000637,2020-09-15,ACI,ACI Limited,Pharma,bn,scandal,negative,negative,-1.0,1.0,0.0,1.0,0.0
N000562,2014-11-28,RENATA,Renata Limited,Pharma,en,earnings,neutral,neutral,0.00849110446870327,0.9492741823196411,0.029608452692627907,0.021117348223924637,0.9492741823196411
N000826,2017-04-18,ROBI,Robi Axiata Limited,Telecom,en,scandal,negative,negative,-0.9483744436874986,0.9569995999336243,0.008625156246125698,0.9569995999336243,0.03437517210841179
N000156,2020-11-11,DUTCHBANGL,Dutch-Bangla Bank PLC,Bank,bn,expansion,negative,negative,-1.0,1.0,0.0,1.0,0.0
N000559,2026-07-22,RENATA,Renata Limited,Pharma,bn,macro,negative,negative,-1.0,1.0,0.0,1.0,0.0
N000415,2011-11-09,PRIMEBANK,Prime Bank Limited,Bank,en,scandal,negative,negative,-0.9499581288546324,0.9650610685348511,0.015102939680218697,0.9650610685348511,0.01983608491718769
N001404,2015-10-01,CUSTOMERS,Customer's Care PLC,Services,en,expansion,negative,negative,-0.9570197043940425,0.9651785492897034,0.008158844895660877,0.9651785492897034,0.026662543416023254
N001169,2021-02-12,BATBC,British American Tobacco Bangladesh,Tobacco,en,macro,negative,negative,-0.40451377630233765,0.6929753422737122,0.2884615659713745,0.6929753422737122,0.018563073128461838
N001164,2022-12-20,BATBC,British American Tobacco Bangladesh,Tobacco,bn,earnings,neutral,neutral,0.0,0.0,0.0,0.0,1.0
N001508,2014-04-03,DSEX,DSE Broad Index,Index,en,earnings,positive,positive,0.9383560121059418,0.9592441320419312,0.9592441320419312,0.02088811993598938,0.019867774099111557
N000440,2016-04-15,PRIMEBANK,Prime Bank Limited,Bank,en,scandal,negative,negative,-0.9202145636081696,0.9304288625717163,0.010214298963546753,0.9304288625717163,0.059356819838285446
N000476,2024-08-29,SIBL,Social Islami Bank Limited,Bank,en,dividend,negative,negative,-0.9650938427075744,0.9733341932296753,0.008240350522100925,0.9733341932296753,0.018425416201353073
N001478,2019-06-17,DSEX,DSE Broad Index,Index,bn,earnings,positive,positive,1.0,1.0,1.0,0.0,0.0
N000697,2025-08-12,BEXPHARMA,BEXIMCO Pharmaceuticals,Pharma,en,expansion,neutral,neutral,0.03761908784508705,0.9245476722717285,0.056535668671131134,0.018916580826044083,0.9245476722717285
N000007,2017-09-18,BANKASIA,Bank Asia Limited,Bank,en,regulatory,negative,negative,-0.9179011099040508,0.9275432229042053,0.009642113000154495,0.9275432229042053,0.06281476467847824
N001368,2014-10-09,JAMUNAOIL,Jamuna Oil Company,Fuel,en,regulatory,neutral,neutral,0.08917046524584293,0.8701534271240234,0.10950850695371628,0.020338041707873344,0.8701534271240234
N000770,2025-04-07,BSCCL,Bangladesh Submarine Cable Company,Telecom,en,scandal,negative,negative,-0.9251292096450925,0.9357373118400574,0.010608102194964886,0.9357373118400574,0.05365462973713875
N001302,2026-03-20,TITASGAS,Titas Gas Transmission,Gas,bn,macro,negative,negative,-1.0,1.0,0.0,1.0,0.0
N000353,2010-10-25,NCCBANK,National Credit & Commerce Bank,Bank,bn,scandal,negative,negative,-1.0,1.0,0.0,1.0,0.0
N000728,2022-09-22,GP,Grameenphone Limited,Telecom,en,earnings,neutral,neutral,0.006469855085015297,0.9501187801361084,0.028175542131066322,0.021705687046051025,0.9501187801361084
N001496,2011-03-19,DSEX,DSE Broad Index,Index,en,macro,positive,positive,0.9320201966911554,0.9539697766304016,0.9539697766304016,0.021949579939246178,0.024080609902739525
N001231,2010-08-13,WALTONHIL,Walton Hi-Tech Industries,Electronics,bn,earnings,neutral,neutral,0.0,0.0,0.0,0.0,1.0
N000630,2020-07-21,ACI,ACI Limited,Pharma,bn,earnings,neutral,neutral,0.0,0.0,0.0,0.0,1.0
N001413,2024-04-29,CUSTOMERS,Customer's Care PLC,Services,bn,dividend,neutral,positive,1.0,1.0,1.0,0.0,0.0
N000421,2026-08-04,PRIMEBANK,Prime Bank Limited,Bank,en,dividend,neutral,neutral,0.050503311678767204,0.9231000542640686,0.06370162963867188,0.01319831795990467,0.9231000542640686
N000806,2016-04-08,ROBI,Robi Axiata Limited,Telecom,bn,regulatory,positive,positive,1.0,1.0,1.0,0.0,0.0
N000733,2019-08-09,GP,Grameenphone Limited,Telecom,en,expansion,positive,positive,0.7153628012165427,0.7273961305618286,0.7273961305618286,0.012033329345285892,0.2605705261230469
N000589,2023-03-24,RENATA,Renata Limited,Pharma,en,earnings,negative,negative,-0.9644214967265725,0.9755045175552368,0.011083020828664303,0.9755045175552368,0.013412483967840672
N000929,2016-10-28,SUMITPOWER,Summit Power International,Power,en,expansion,negative,negative,-0.926356615498662,0.9394174814224243,0.013060865923762321,0.9394174814224243,0.047521740198135376
N001241,2021-01-29,WALTONHIL,Walton Hi-Tech Industries,Electronics,en,macro,positive,positive,0.9322481788694859,0.9540299773216248,0.9540299773216248,0.0217817984521389,0.024188293144106865
N001544,2012-08-03,DSEX,DSE Broad Index,Index,en,scandal,negative,negative,-0.9243765044957399,0.9336864352226257,0.009309930726885796,0.9336864352226257,0.05700357258319855
N001474,2025-02-20,DSEX,DSE Broad Index,Index,bn,regulatory,positive,negative,-1.0,1.0,0.0,1.0,0.0
N000363,2012-08-24,NCCBANK,National Credit & Commerce Bank,Bank,bn,dividend,negative,neutral,0.0,0.0,0.0,0.0,1.0
N000530,2010-01-12,SQURPHARMA,Square Pharmaceuticals PLC,Pharma,en,macro,negative,negative,-0.9161471910774708,0.9512710571289062,0.03512386605143547,0.9512710571289062,0.013605059124529362
N000910,2010-08-30,SUMITPOWER,Summit Power International,Power,en,regulatory,negative,negative,-0.9156594118103385,0.9255397319793701,0.00988032016903162,0.9255397319793701,0.06457995623350143
N001032,2012-03-16,LAFARGECEM,LafargeHolcim Bangladesh,Cement,bn,expansion,neutral,neutral,0.0,0.0,0.0,0.0,1.0
N001068,2016-02-22,MARICO,Marico Bangladesh Limited,Consumer,en,dividend,negative,negative,-0.9653005497530103,0.9730516076087952,0.007751057855784893,0.9730516076087952,0.01919739507138729
N000496,2025-08-08,SIBL,Social Islami Bank Limited,Bank,en,expansion,positive,positive,0.697148310020566,0.7078264355659485,0.7078264355659485,0.0106781255453825,0.28149545192718506
N000850,2018-11-16,ROBI,Robi Axiata Limited,Telecom,en,earnings,positive,positive,0.9411794953048229,0.9598941206932068,0.9598941206932068,0.018714625388383865,0.021391183137893677
N000506,2024-04-24,SQURPHARMA,Square Pharmaceuticals PLC,Pharma,bn,regulatory,positive,positive,1.0,1.0,1.0,0.0,0.0
N001554,2014-04-04,DSEX,DSE Broad Index,Index,bn,scandal,negative,negative,-1.0,1.0,0.0,1.0,0.0
N000361,2015-04-14,NCCBANK,National Credit & Commerce Bank,Bank,en,scandal,negative,negative,-0.9282277403399348,0.9388672709465027,0.01063953060656786,0.9388672709465027,0.05049321800470352
N001106,2015-05-08,UNILEVER,Unilever Consumer Care,Consumer,en,macro,negative,negative,-0.8597021624445915,0.9235438704490662,0.06384170800447464,0.9235438704490662,0.012614471837878227
N000895,2023-04-28,POWERGRID,Power Grid Company of Bangladesh,Power,bn,macro,positive,positive,1.0,1.0,1.0,0.0,0.0
N000120,2016-08-23,DBBL,Dutch-Bangla Bank PLC,Bank,en,dividend,negative,negative,-0.9647416155785322,0.9730481505393982,0.008306534960865974,0.9730481505393982,0.01864541880786419
N001457,2016-12-16,DSEX,DSE Broad Index,Index,en,regulatory,neutral,neutral,0.1018481757491827,0.8649035692214966,0.11847230792045593,0.01662413217127323,0.8649035692214966
N000937,2013-10-31,SUMITPOWER,Summit Power International,Power,bn,expansion,neutral,neutral,0.0,0.0,0.0,0.0,1.0
N000518,2016-02-05,SQURPHARMA,Square Pharmaceuticals PLC,Pharma,en,expansion,neutral,neutral,0.03559433855116367,0.9240902662277222,0.05575200542807579,0.020157666876912117,0.9240902662277222
N000202,2010-09-13,EBL,Eastern Bank PLC,Bank,bn,earnings,negative,negative,-1.0,1.0,0.0,1.0,0.0
N000101,2018-04-10,DBBL,Dutch-Bangla Bank PLC,Bank,bn,dividend,neutral,positive,1.0,1.0,1.0,0.0,0.0
N000338,2022-07-29,MUTUALTRUST,Mutual Trust Bank Limited,Bank,bn,macro,negative,negative,-1.0,1.0,0.0,1.0,0.0
N001201,2011-01-25,WALTONHIL,Walton Hi-Tech Industries,Electronics,bn,expansion,neutral,neutral,0.0,0.0,0.0,0.0,1.0
N000590,2015-04-15,RENATA,Renata Limited,Pharma,bn,scandal,negative,negative,-1.0,1.0,0.0,1.0,0.0
N001140,2016-10-09,UNILEVER,Unilever Consumer Care,Consumer,en,expansion,negative,negative,-0.9576278422027826,0.9658666849136353,0.008238842710852623,0.9658666849136353,0.02589442767202854
N000060,2019-02-12,BRACBANK,BRAC Bank Limited,Bank,bn,regulatory,neutral,neutral,0.0,0.0,0.0,0.0,1.0
N000952,2023-07-26,HEIDELBCEM,Heidelberg Cement Bangladesh,Cement,en,macro,negative,negative,-0.9147068783640862,0.9505194425582886,0.03581256419420242,0.9505194425582886,0.013668036088347435
N001049,2022-11-21,LAFARGECEM,LafargeHolcim Bangladesh,Cement,en,earnings,neutral,neutral,0.00427575409412384,0.94989013671875,0.027192793786525726,0.022917039692401886,0.94989013671875
N000016,2018-11-16,BANKASIA,Bank Asia Limited,Bank,en,macro,negative,negative,-0.8579951599240303,0.9226706624031067,0.06467550247907639,0.9226706624031067,0.012653842568397522
N000061,2013-12-21,BRACBANK,BRAC Bank Limited,Bank,bn,earnings,positive,positive,1.0,1.0,1.0,0.0,0.0
N000795,2015-04-08,BSCCL,Bangladesh Submarine Cable Company,Telecom,en,macro,positive,positive,0.9329445008188486,0.9538138508796692,0.9538138508796692,0.02086935006082058,0.02531678043305874
N001320,2024-10-22,TITASGAS,Titas Gas Transmission,Gas,en,macro,positive,positive,0.933459585532546,0.9541443586349487,0.9541443586349487,0.020684773102402687,0.02517087757587433
N000638,2010-04-26,ACI,ACI Limited,Pharma,bn,expansion,neutral,neutral,0.0,0.0,0.0,0.0,1.0
N001355,2012-03-23,JAMUNAOIL,Jamuna Oil Company,Fuel,bn,expansion,positive,positive,1.0,1.0,1.0,0.0,0.0
N000071,2016-09-26,BRACBANK,BRAC Bank Limited,Bank,en,regulatory,negative,negative,-0.9013337576761842,0.9119369387626648,0.010603181086480618,0.9119369387626648,0.07745993137359619
N001011,2025-10-23,LAFARGECEM,LafargeHolcim Bangladesh,Cement,en,expansion,positive,positive,0.7460341257974505,0.7569566369056702,0.7569566369056702,0.010922511108219624,0.23212085664272308
N001419,2010-06-25,CUSTOMERS,Customer's Care PLC,Services,en,expansion,positive,positive,0.6773539995774627,0.6908323764801025,0.6908323764801025,0.013478376902639866,0.29568925499916077
N001207,2014-10-10,WALTONHIL,Walton Hi-Tech Industries,Electronics,bn,macro,negative,negative,-1.0,1.0,0.0,1.0,0.0
N001083,2025-03-07,MARICO,Marico Bangladesh Limited,Consumer,en,expansion,positive,positive,0.644630498252809,0.6571223139762878,0.6571223139762878,0.012491815723478794,0.33038586378097534
N001303,2013-08-20,TITASGAS,Titas Gas Transmission,Gas,bn,regulatory,positive,negative,-1.0,1.0,0.0,1.0,0.0
N000633,2020-04-06,ACI,ACI Limited,Pharma,en,dividend,negative,negative,-0.9655844327062368,0.9734599590301514,0.007875526323914528,0.9734599590301514,0.0186645295470953
N000009,2025-10-20,BANKASIA,Bank Asia Limited,Bank,bn,earnings,positive,positive,1.0,1.0,1.0,0.0,0.0
N000713,2013-10-03,GP,Grameenphone Limited,Telecom,en,regulatory,neutral,neutral,0.08434521593153477,0.8784541487693787,0.10294552147388458,0.018600305542349815,0.8784541487693787
N000980,2010-08-26,HEIDELBCEM,Heidelberg Cement Bangladesh,Cement,en,scandal,negative,negative,-0.9129486614838243,0.9235806465148926,0.010631985031068325,0.9235806465148926,0.06578732281923294
N000150,2012-07-18,DBBL,Dutch-Bangla Bank PLC,Bank,en,scandal,negative,negative,-0.9508812120184302,0.9648308753967285,0.013949663378298283,0.9648308753967285,0.02121945656836033
N000166,2025-10-15,DUTCHBANGL,Dutch-Bangla Bank PLC,Bank,bn,earnings,negative,neutral,0.0,0.0,0.5,0.5,1.0
N001463,2013-07-17,DSEX,DSE Broad Index,Index,bn,expansion,neutral,neutral,0.0,0.0,0.0,0.0,1.0
N000768,2017-01-31,BSCCL,Bangladesh Submarine Cable Company,Telecom,en,scandal,negative,negative,-0.9072042303159833,0.9188665151596069,0.011662284843623638,0.9188665151596069,0.0694713145494461
N000273,2011-12-02,ISLAMI BANK,Islami Bank Bangladesh PLC,Bank,bn,expansion,positive,positive,1.0,1.0,1.0,0.0,0.0
N001100,2010-01-12,MARICO,Marico Bangladesh Limited,Consumer,en,macro,positive,positive,0.9320220071822405,0.9541099071502686,0.9541099071502686,0.02208789996802807,0.02380215749144554
N000571,2011-09-30,RENATA,Renata Limited,Pharma,bn,dividend,negative,neutral,0.0,0.0,0.0,0.0,1.0
N000868,2011-10-18,POWERGRID,Power Grid Company of Bangladesh,Power,bn,scandal,negative,negative,-1.0,1.0,0.0,1.0,0.0
N000026,2022-09-22,BANKASIA,Bank Asia Limited,Bank,bn,earnings,positive,positive,1.0,1.0,1.0,0.0,0.0
N001102,2011-10-26,UNILEVER,Unilever Consumer Care,Consumer,en,regulatory,negative,negative,-0.905449878424406,0.9155237078666687,0.01007382944226265,0.9155237078666687,0.07440238445997238
N001259,2026-02-22,BEXIMCO,BEXIMCO Limited,Conglomerate,bn,earnings,negative,negative,-1.0,1.0,0.0,1.0,0.0
N000403,2026-06-08,PRIMEBANK,Prime Bank Limited,Bank,en,expansion,positive,positive,0.7264742124825716,0.7369619011878967,0.7369619011878967,0.010487688705325127,0.2525504231452942
N000098,2017-11-06,BRACBANK,BRAC Bank Limited,Bank,bn,dividend,neutral,positive,1.0,1.0,1.0,0.0,0.0
N001194,2016-12-30,BATBC,British American Tobacco Bangladesh,Tobacco,en,macro,positive,positive,0.9328959230333567,0.9538176655769348,0.9538176655769348,0.020921742543578148,0.025260616093873978
N000608,2014-07-03,ACI,ACI Limited,Pharma,en,earnings,positive,positive,0.9383520148694515,0.9587256908416748,0.9587256908416748,0.020373675972223282,0.020900564268231392
N000611,2020-12-18,ACI,ACI Limited,Pharma,en,regulatory,negative,negative,-0.9189821165055037,0.92850661277771,0.009524496272206306,0.92850661277771,0.06196895241737366
N001026,2026-06-21,LAFARGECEM,LafargeHolcim Bangladesh,Cement,en,earnings,neutral,neutral,0.00427575409412384,0.94989013671875,0.027192793786525726,0.022917039692401886,0.94989013671875
N001014,2022-02-04,LAFARGECEM,LafargeHolcim Bangladesh,Cement,bn,regulatory,negative,negative,-1.0,1.0,0.0,1.0,0.0
N000774,2024-04-05,BSCCL,Bangladesh Submarine Cable Company,Telecom,en,earnings,positive,positive,0.9389810338616371,0.9595236778259277,0.9595236778259277,0.02054264396429062,0.019933702424168587
N000377,2022-01-19,NCCBANK,National Credit & Commerce Bank,Bank,bn,scandal,negative,negative,-1.0,1.0,0.0,1.0,0.0
N001159,2012-06-01,BATBC,British American Tobacco Bangladesh,Tobacco,en,macro,neutral,positive,0.40569472312927246,0.5722103118896484,0.5722103118896484,0.16651558876037598,0.261274129152298
N001232,2013-01-18,WALTONHIL,Walton Hi-Tech Industries,Electronics,en,dividend,neutral,neutral,0.09017344191670418,0.8862228393554688,0.10197526216506958,0.011801820248365402,0.8862228393554688
N001272,2018-03-30,BEXIMCO,BEXIMCO Limited,Conglomerate,bn,regulatory,positive,negative,-1.0,1.0,0.0,1.0,0.0
N000605,2014-09-28,ACI,ACI Limited,Pharma,bn,scandal,negative,negative,-1.0,1.0,0.0,1.0,0.0
N000316,2012-09-28,MUTUALTRUST,Mutual Trust Bank Limited,Bank,en,dividend,positive,neutral,0.17525718919932842,0.785507321357727,0.19487492740154266,0.01961773820221424,0.785507321357727
N001023,2015-11-11,LAFARGECEM,LafargeHolcim Bangladesh,Cement,bn,macro,positive,neutral,0.0,0.0,0.0,0.0,1.0
N000647,2019-05-08,ACI,ACI Limited,Pharma,en,scandal,negative,negative,-0.9249653583392501,0.93505859375,0.010093235410749912,0.93505859375,0.054848071187734604
N000451,2020-05-21,SIBL,Social Islami Bank Limited,Bank,bn,macro,neutral,neutral,0.0,0.0,0.0,0.0,1.0
N000235,2024-02-01,EBL,Eastern Bank PLC,Bank,bn,scandal,negative,negative,-1.0,1.0,0.0,1.0,0.0
N000337,2023-09-19,MUTUALTRUST,Mutual Trust Bank Limited,Bank,en,scandal,negative,negative,-0.9491741945967078,0.9644337296485901,0.015259535051882267,0.9644337296485901,0.020306697115302086
N000696,2020-02-25,BEXPHARMA,BEXIMCO Pharmaceuticals,Pharma,en,earnings,neutral,neutral,0.006329776719212532,0.9511594176292419,0.027585148811340332,0.0212553720921278,0.9511594176292419
N000117,2015-03-04,DBBL,Dutch-Bangla Bank PLC,Bank,en,earnings,neutral,neutral,0.004894858226180077,0.9516673684120178,0.026613740250468254,0.021718882024288177,0.9516673684120178
N001087,2024-03-05,MARICO,Marico Bangladesh Limited,Consumer,en,expansion,negative,negative,-0.9277038732543588,0.9401983022689819,0.012494429014623165,0.9401983022689819,0.04730730503797531
N000376,2024-11-04,NCCBANK,National Credit & Commerce Bank,Bank,en,regulatory,positive,positive,0.7604186497628689,0.7756288051605225,0.7756288051605225,0.01521015539765358,0.20916107296943665
N000887,2021-10-05,POWERGRID,Power Grid Company of Bangladesh,Power,en,earnings,negative,negative,-0.9662981862202287,0.97552490234375,0.009226716123521328,0.97552490234375,0.015248371288180351
N000384,2026-05-29,NCCBANK,National Credit & Commerce Bank,Bank,en,regulatory,negative,negative,-0.9023971818387508,0.912817656993866,0.010420475155115128,0.912817656993866,0.07676186412572861
N001325,2018-09-28,TITASGAS,Titas Gas Transmission,Gas,en,macro,positive,positive,0.9328671023249626,0.9537457823753357,0.9537457823753357,0.020878680050373077,0.025375550612807274
N000326,2017-08-09,MUTUALTRUST,Mutual Trust Bank Limited,Bank,bn,regulatory,negative,negative,-1.0,1.0,0.0,1.0,0.0
N000094,2024-11-14,BRACBANK,BRAC Bank Limited,Bank,bn,earnings,positive,positive,1.0,1.0,1.0,0.0,0.0
