stock,lag,n,pearson_r,p_value,target
MARICO,2,44,-0.041822578738738,0.7875056574378114,return_t+2
MARICO,5,44,0.10268899066853368,0.5071325922849045,return_t+5
MARICO,10,44,-0.21623182685227493,0.1586077527179936,return_t+10
MUTUALTRUST,0,47,-0.0719309504669651,0.6308875146629113,return_t
MUTUALTRUST,1,47,-0.0608685807858777,0.6844234030790016,return_t+1
MUTUALTRUST,2,47,-0.020479368831804623,0.8913208159461841,return_t+2
MUTUALTRUST,5,47,0.05230498775277305,0.7269630009456428,return_t+5
MUTUALTRUST,10,47,-0.04756400295367612,0.7508782725194101,return_t+10
NCCBANK,0,45,0.22418845489583766,0.1387397661424124,return_t
NCCBANK,1,45,0.20367486567454862,0.179608739271075,return_t+1
NCCBANK,2,45,0.17752060834448452,0.24336060773540372,return_t+2
NCCBANK,5,45,0.02990837286184349,0.8453700948279267,return_t+5
NCCBANK,10,45,-0.06786814640820527,0.6577850696580568,return_t+10
POWERGRID,0,47,-0.2164755570264828,0.14387487637205734,return_t
POWERGRID,1,47,0.12303587759296676,0.4099876401428982,return_t+1
POWERGRID,2,47,-0.006632806011731636,0.9647065468952247,return_t+2
POWERGRID,5,47,0.0028005868451594575,0.9850940931489384,return_t+5
POWERGRID,10,47,0.017536841902033144,0.9068616138683381,return_t+10
PRIMEBANK,0,47,-0.04738466062524547,0.7517876584039547,return_t
PRIMEBANK,1,47,-0.19594596482631804,0.18683401150567805,return_t+1
PRIMEBANK,2,47,-0.012787167238677571,0.9320171436770918,return_t+2
PRIMEBANK,5,47,-0.12711430839620064,0.3945209804591171,return_t+5
PRIMEBANK,10,46,0.20410244732741673,0.17365100102104591,return_t+10
RENATA,0,48,-0.007099692460439781,0.9618022403399109,return_t
RENATA,1,48,0.2855170945381559,0.04916722543557062,return_t+1
RENATA,2,48,-0.13835646100798799,0.3483394250302545,return_t+2
RENATA,5,48,0.1438678458651868,0.32928300450549847,return_t+5
RENATA,10,48,0.24615472416304982,0.09169642258603089,return_t+10
ROBI,0,46,0.11949644002775851,0.42894387176425713,return_t
ROBI,1,46,0.10318071975866518,0.4950041410713053,return_t+1
ROBI,2,46,0.21306290693807378,0.1551198737523303,return_t+2
ROBI,5,46,0.2089990766706498,0.16333596344290569,return_t+5
ROBI,10,46,-0.08479579573530478,0.5752772952321339,return_t+10
SIBL,0,45,0.022737516478665443,0.8821416841089122,return_t
SIBL,1,45,-0.25282883857913346,0.09380722051481306,return_t+1
SIBL,2,45,-0.07337354644057137,0.6319382564602908,return_t+2
SIBL,5,45,-0.08490354585858292,0.5792189451946964,return_t+5
SIBL,10,45,-0.08790168496811154,0.565844295774426,return_t+10
SQURPHARMA,0,42,-0.02597371462919679,0.8703008120509244,return_t
SQURPHARMA,1,42,0.11454150973746983,0.4701135715148801,return_t+1
SQURPHARMA,2,42,0.03755081179870804,0.8133581154810002,return_t+2
SQURPHARMA,5,42,0.1908646704177672,0.22597824803767952,return_t+5
SQURPHARMA,10,42,0.17279440904323207,0.27382451399771746,return_t+10
SUMITPOWER,0,42,-0.002566544625378471,0.9871297583524846,return_t
SUMITPOWER,1,42,0.06978432468633547,0.6605588138890822,return_t+1
SUMITPOWER,2,42,-0.2411898288874875,0.1238694545044557,return_t+2
SUMITPOWER,5,42,-0.18728498491590664,0.23496728787974278,return_t+5
SUMITPOWER,10,42,-0.022674731447889254,0.8866593740327878,return_t+10
TITASGAS,0,45,-0.015837092231943677,0.917760376187185,return_t
TITASGAS,1,45,0.12243131983528385,0.4230137297305622,return_t+1
TITASGAS,2,45,0.17357445034021737,0.2541661390598374,return_t+2
TITASGAS,5,45,0.0014260680457527227,0.9925820523822766,return_t+5
TITASGAS,10,44,-0.291657141736616,0.054739944880586734,return_t+10
UNILEVER,0,42,0.08523510705769755,0.5914785178026711,return_t
UNILEVER,1,42,-0.2338592778598361,0.13606642029374594,return_t+1
UNILEVER,2,42,-0.15483591954379541,0.3275355789773779,return_t+2
UNILEVER,5,42,-0.42887366421181333,0.0045981724153929485,return_t+5
UNILEVER,10,42,-0.24534971812903617,0.1173234479304181,return_t+10
WALTONHIL,0,43,0.012464548255953686,0.9367701381140074,return_t
WALTONHIL,1,43,0.03141652699289893,0.8414879074353823,return_t+1
WALTONHIL,2,43,-0.06641885722080137,0.6721702237418405,return_t+2
WALTONHIL,5,43,0.1515763531103618,0.3319043220191444,return_t+5
WALTONHIL,10,43,0.03570662226968941,0.8201773799698515,return_t+10
